Object,Experiment,Kind,subjID,Rating
Kanpa,2,ArtifactNFC,s1,2
Flut,2,ArtifactNFC,s1,3
Meepa,2,ArtifactNFC,s1,1
Cano,2,ArtifactNFC,s1,1
Maxus,2,ArtifactNFC,s1,2
Bewt,2,ArtifactFC,s1,1
Arn,2,ArtifactFC,s1,1
Toppee,2,ArtifactFC,s1,7
Bollop,2,ArtifactFC,s1,7
Reeka,2,ArtifactFC,s1,7
Kanpa,2,ArtifactNFC,s2,6
Flut,2,ArtifactNFC,s2,6
Meepa,2,ArtifactNFC,s2,7
Cano,2,ArtifactNFC,s2,6
Maxus,2,ArtifactNFC,s2,4
Bewt,2,ArtifactFC,s2,5
Arn,2,ArtifactFC,s2,4
Toppee,2,ArtifactFC,s2,5
Bollop,2,ArtifactFC,s2,5
Reeka,2,ArtifactFC,s2,7
Kanpa,2,ArtifactNFC,s3,3
Flut,2,ArtifactNFC,s3,1
Meepa,2,ArtifactNFC,s3,6
Cano,2,ArtifactNFC,s3,5
Maxus,2,ArtifactNFC,s3,4
Bewt,2,ArtifactFC,s3,4
Arn,2,ArtifactFC,s3,7
Toppee,2,ArtifactFC,s3,3
Bollop,2,ArtifactFC,s3,3
Reeka,2,ArtifactFC,s3,5
Kanpa,2,ArtifactNFC,s4,4
Flut,2,ArtifactNFC,s4,6
Meepa,2,ArtifactNFC,s4,3
Cano,2,ArtifactNFC,s4,4
Maxus,2,ArtifactNFC,s4,5
Bewt,2,ArtifactFC,s4,7
Arn,2,ArtifactFC,s4,4
Toppee,2,ArtifactFC,s4,6
Bollop,2,ArtifactFC,s4,4
Reeka,2,ArtifactFC,s4,6
Kanpa,2,ArtifactNFC,s5,6
Flut,2,ArtifactNFC,s5,4
Meepa,2,ArtifactNFC,s5,3
Cano,2,ArtifactNFC,s5,4
Maxus,2,ArtifactNFC,s5,3
Bewt,2,ArtifactFC,s5,4
Arn,2,ArtifactFC,s5,5
Toppee,2,ArtifactFC,s5,5
Bollop,2,ArtifactFC,s5,4
Reeka,2,ArtifactFC,s5,6
Kanpa,2,ArtifactNFC,s6,7
Flut,2,ArtifactNFC,s6,4
Meepa,2,ArtifactNFC,s6,5
Cano,2,ArtifactNFC,s6,3
Maxus,2,ArtifactNFC,s6,6
Bewt,2,ArtifactFC,s6,3
Arn,2,ArtifactFC,s6,5
Toppee,2,ArtifactFC,s6,4
Bollop,2,ArtifactFC,s6,4
Reeka,2,ArtifactFC,s6,3
Kanpa,2,ArtifactNFC,s7,7
Flut,2,ArtifactNFC,s7,4
Meepa,2,ArtifactNFC,s7,5
Cano,2,ArtifactNFC,s7,3
Maxus,2,ArtifactNFC,s7,6
Bewt,2,ArtifactFC,s7,3
Arn,2,ArtifactFC,s7,5
Toppee,2,ArtifactFC,s7,4
Bollop,2,ArtifactFC,s7,4
Reeka,2,ArtifactFC,s7,3
Kanpa,2,ArtifactNFC,s8,6
Flut,2,ArtifactNFC,s8,5
Meepa,2,ArtifactNFC,s8,6
Cano,2,ArtifactNFC,s8,7
Maxus,2,ArtifactNFC,s8,7
Bewt,2,ArtifactFC,s8,4
