Group,Subject,TrialType,Kind,KindNew,Object,Rating
CB,CB1,Color,Natural,Natural,Atto,7
CB,CB1,Color,Natural,Natural,Onz,7
CB,CB1,Color,Natural,Natural,Stime,7
CB,CB1,Color,Natural,Natural,Enly,3
CB,CB1,Color,Natural,Natural,Blairo,3
CB,CB1,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB1,Color,ArtifactFC,ArtifactNFC,Arn,7
CB,CB1,Color,ArtifactFC,ArtifactFC,Topee,7
CB,CB1,Color,ArtifactFC,ArtifactFC,Bollop,3
CB,CB1,Color,ArtifactFC,ArtifactFC,Reeka,7
CB,CB1,Color,ArtifactNFC,ArtifactNFC,Kanpa,3
CB,CB1,Color,ArtifactNFC,ArtifactNFC,Flut,3
CB,CB1,Color,ArtifactNFC,ArtifactNFC,Meepa,3
CB,CB1,Color,ArtifactNFC,ArtifactFC,Cano,3
CB,CB1,Color,ArtifactNFC,ArtifactNFC,Maxus,3
CB,CB1,Function,Natural,Natural,Koshi,3
CB,CB1,Function,Natural,Natural,Poom,3
CB,CB1,Function,Natural,Natural,Borg,3
CB,CB1,Function,Natural,Natural,Norpee,7
CB,CB1,Function,Natural,Natural,Irve,3
CB,CB1,Function,Artifact,Artifact,Xenop,5
CB,CB1,Function,Artifact,Artifact,Trint,7
CB,CB1,Function,Artifact,Artifact,Soof,7
CB,CB1,Function,Artifact,Artifact,Quag,7
CB,CB1,Function,Artifact,Artifact,Olan,7
CB,CB1,Filler,Artifact,Artifact,Gep,7
CB,CB1,Filler,Artifact,Artifact,Desh,7
CB,CB1,Filler,Artifact,Artifact,Nox,7
CB,CB1,Filler,Natural,Natural,Yobal,7
CB,CB1,Filler,Natural,Natural,Walla,7
CB,CB1,Filler,Natural,Natural,Chom,7
CB,CB1,Filler,Natural,Natural,Hyto,3
CB,CB1,Filler,Natural,Natural,Drapa,5
CB,CB1,Filler,Natural,Natural,Uzoo,7
CB,CB1,Filler,Natural,Natural,Jox,7
CB,CB2,Color,Natural,Natural,Atto,5
CB,CB2,Color,Natural,Natural,Onz,6
CB,CB2,Color,Natural,Natural,Stime,6
CB,CB2,Color,Natural,Natural,Enly,5
