Experiment,TrialNum,TrialType,Kind,Object,Group,subjID,color1,color2,color3
2,1,Color,Natural,strawberry,CB,NFB_CB_26,red,,
2,2,Color,Natural,banana,CB,NFB_CB_26,yellow,,
2,3,Color,Natural,broccoli,CB,NFB_CB_26,yellow,,
2,4,Color,Natural,lemon,CB,NFB_CB_26,purple,,
2,5,Color,Natural,coal,CB,NFB_CB_26,black,,
2,6,Color,Natural,snow,CB,NFB_CB_26,white,,
2,7,Color,Natural,flamingo,CB,NFB_CB_26,pink,,
2,8,Color,Natural,elephant,CB,NFB_CB_26,white,,
2,9,Color,Natural,ruby,CB,NFB_CB_26,silver,,
2,10,Color,Natural,pearl,CB,NFB_CB_26,silver,,
2,11,Color,ArtifactFC,go traffic,CB,NFB_CB_26,green,,
2,12,Color,ArtifactFC,fire truck,CB,NFB_CB_26,red,,
2,13,Color,ArtifactFC,basketball,CB,NFB_CB_26,black,,
2,14,Color,ArtifactFC,taxi cab,CB,NFB_CB_26,yellow,,
2,15,Color,ArtifactFC,police uniform,CB,NFB_CB_26,blue,,
2,16,Color,ArtifactFC,dollar bill,CB,NFB_CB_26,green,,
2,17,Color,ArtifactFC,tennis ball,CB,NFB_CB_26,white,,
2,18,Color,ArtifactFC,chalkboard,CB,NFB_CB_26,black,,
2,19,Color,ArtifactNFC,toilet,CB,NFB_CB_26,black,,
2,20,Color,ArtifactFC,street sign,CB,NFB_CB_26,red,,
2,21,Color,ArtifactNFC,pants,CB,NFB_CB_26,blue,,
2,22,Color,ArtifactNFC,mug,CB,NFB_CB_26,green,,
2,23,Color,ArtifactNFC,book,CB,NFB_CB_26,red,,
2,24,Color,ArtifactNFC,purse,CB,NFB_CB_26,pink,,
2,25,Color,ArtifactFC,crayon,CB,NFB_CB_26,brown,,
2,26,Color,ArtifactNFC,lunch box,CB,NFB_CB_26,blue,,
2,27,Color,ArtifactNFC,suitcase,CB,NFB_CB_26,blue,,
2,28,Color,ArtifactNFC,couch,CB,NFB_CB_26,white,,
2,29,Color,ArtifactNFC,shoes,CB,NFB_CB_26,white,,
2,30,Color,ArtifactNFC,vacuum,CB,NFB_CB_26,black,,
3,31,Color,Natural,apple,CB,NFB_CB_26,red,,
3,32,Color,Natural,blueberry,CB,NFB_CB_26,blue,,
3,33,Color,Natural,carrot,CB,NFB_CB_26,yellow,,
3,34,Color,Natural,corn,CB,NFB_CB_26,yellow,,
3,35,Color,Natural,fire,CB,NFB_CB_26,red,,
3,36,Color,Natural,kiwi,CB,NFB_CB_26,red,,
3,37,Color,Natural,polar bear,CB,NFB_CB_26,white,,
3,38,Color,Natural,spinach,CB,NFB_CB_26,green,,
3,39,Color,ArtifactFC,coin,CB,NFB_CB_26,silver,,
3,40,Color,ArtifactFC,lab coat,CB,NFB_CB_26,white,,
3,41,Color,ArtifactFC,military uniform,CB,NFB_CB_26,blue,,
3,42,Color,ArtifactFC,paper,CB,NFB_CB_26,white,,
3,43,Color,ArtifactFC,recycling bin,CB,NFB_CB_26,blue,,
3,44,Color,ArtifactFC,school bus,CB,NFB_CB_26,yellow,,
3,45,Color,ArtifactFC,stop sign,CB,NFB_CB_26,red,,
3,46,Color,ArtifactFC,wedding dress,CB,NFB_CB_26,white,,
3,47,Color,ArtifactNFC,car,CB,NFB_CB_26,blue,,
3,48,Color,ArtifactNFC,cup,CB,NFB_CB_26,red,,
3,49,Color,ArtifactNFC,fork,CB,NFB_CB_26,black,,
3,50,Color,ArtifactNFC,laptop,CB,NFB_CB_26,black,,
3,51,Color,ArtifactFC,pen,CB,NFB_CB_26,black,,
3,52,Color,ArtifactNFC,soap,CB,NFB_CB_26,green,,
3,53,Color,ArtifactNFC,table,CB,NFB_CB_26,black,,
