Object,Experiment,Kind,subjID,Rating
go traffic,2,AritfactFC,s1,7
basketball,2,AritfactFC,s1,6
chalkboard,2,AritfactFC,s1,7
dollar bill,2,AritfactFC,s1,6
fire truck,2,AritfactFC,s1,5
lab coat,2,AritfactFC,s1,1
police uniform,2,AritfactFC,s1,4
street sign,2,AritfactFC,s1,7
taxi cab,2,AritfactFC,s1,3
tennis ball,2,AritfactFC,s1,1
toilet,2,AritfactFC,s1,1
book,2,ArtifactNFC,s1,1
couch,2,ArtifactNFC,s1,1
crayon,2,ArtifactNFC,s1,6
lunch box,2,ArtifactNFC,s1,1
mug,2,ArtifactNFC,s1,1
pants,2,ArtifactNFC,s1,7
shoes,2,ArtifactNFC,s1,4
purse,2,ArtifactNFC,s1,4
suitcase,2,ArtifactNFC,s1,1
vacuum,2,ArtifactNFC,s1,1
coin,3,AritfactFC,s1,6
military uniform,3,AritfactFC,s1,5
paper,3,AritfactFC,s1,7
recycling bin,3,AritfactFC,s1,1
school bus,3,AritfactFC,s1,3
stop sign,3,AritfactFC,s1,7
wedding dress,3,AritfactFC,s1,4
car,3,ArtifactNFC,s1,1
cup,3,ArtifactNFC,s1,1
fork,3,ArtifactNFC,s1,1
laptop,3,ArtifactNFC,s1,1
pen,3,ArtifactNFC,s1,7
soap,3,ArtifactNFC,s1,1
table,3,ArtifactNFC,s1,1
towel,3,ArtifactNFC,s1,1
go traffic,2,AritfactFC,s2,7
basketball,2,AritfactFC,s2,5
chalkboard,2,AritfactFC,s2,4
dollar bill,2,AritfactFC,s2,5
fire truck,2,AritfactFC,s2,7
lab coat,2,AritfactFC,s2,5
police uniform,2,AritfactFC,s2,5
street sign,2,AritfactFC,s2,5
taxi cab,2,AritfactFC,s2,6
tennis ball,2,AritfactFC,s2,3
toilet,2,AritfactFC,s2,5
book,2,ArtifactNFC,s2,1
couch,2,ArtifactNFC,s2,2
crayon,2,ArtifactNFC,s2,2
lunch box,2,ArtifactNFC,s2,1
mug,2,ArtifactNFC,s2,6
pants,2,ArtifactNFC,s2,2
shoes,2,ArtifactNFC,s2,2
purse,2,ArtifactNFC,s2,1
suitcase,2,ArtifactNFC,s2,6
vacuum,2,ArtifactNFC,s2,1
coin,3,AritfactFC,s2,5
military uniform,3,AritfactFC,s2,5
paper,3,AritfactFC,s2,6
recycling bin,3,AritfactFC,s2,6
school bus,3,AritfactFC,s2,5
stop sign,3,AritfactFC,s2,7
wedding dress,3,AritfactFC,s2,4
car,3,ArtifactNFC,s2,2
cup,3,ArtifactNFC,s2,2
fork,3,ArtifactNFC,s2,1
laptop,3,ArtifactNFC,s2,1
pen,3,ArtifactNFC,s2,2
soap,3,ArtifactNFC,s2,3
table,3,ArtifactNFC,s2,1
towel,3,ArtifactNFC,s2,1
go traffic,2,AritfactFC,s3,6
basketball,2,AritfactFC,s3,6
chalkboard,2,AritfactFC,s3,5
dollar bill,2,AritfactFC,s3,4
fire truck,2,AritfactFC,s3,3
lab coat,2,AritfactFC,s3,1
police uniform,2,AritfactFC,s3,3
street sign,2,AritfactFC,s3,5
taxi cab,2,AritfactFC,s3,6
tennis ball,2,AritfactFC,s3,4
toilet,2,AritfactFC,s3,4
book,2,ArtifactNFC,s3,5
couch,2,ArtifactNFC,s3,6
crayon,2,ArtifactNFC,s3,6
lunch box,2,ArtifactNFC,s3,4
mug,2,ArtifactNFC,s3,3
pants,2,ArtifactNFC,s3,3
shoes,2,ArtifactNFC,s3,3
purse,2,ArtifactNFC,s3,7
suitcase,2,ArtifactNFC,s3,6
vacuum,2,ArtifactNFC,s3,3
coin,3,AritfactFC,s3,2
military uniform,3,AritfactFC,s3,6
paper,3,AritfactFC,s3,6
recycling bin,3,AritfactFC,s3,7
school bus,3,AritfactFC,s3,4
stop sign,3,AritfactFC,s3,7
wedding dress,3,AritfactFC,s3,4
car,3,ArtifactNFC,s3,4
cup,3,ArtifactNFC,s3,5
fork,3,ArtifactNFC,s3,6
laptop,3,ArtifactNFC,s3,5
pen,3,ArtifactNFC,s3,3
soap,3,ArtifactNFC,s3,4
table,3,ArtifactNFC,s3,4
towel,3,ArtifactNFC,s3,4
go traffic,2,AritfactFC,s4,7
basketball,2,AritfactFC,s4,4
chalkboard,2,AritfactFC,s4,4
dollar bill,2,AritfactFC,s4,3
fire truck,2,AritfactFC,s4,6
lab coat,2,AritfactFC,s4,4
police uniform,2,AritfactFC,s4,5
street sign,2,AritfactFC,s4,4
taxi cab,2,AritfactFC,s4,5
tennis ball,2,AritfactFC,s4,4
toilet,2,AritfactFC,s4,1
book,2,ArtifactNFC,s4,1
couch,2,ArtifactNFC,s4,1
crayon,2,ArtifactNFC,s4,7
lunch box,2,ArtifactNFC,s4,1
mug,2,ArtifactNFC,s4,1
pants,2,ArtifactNFC,s4,2
shoes,2,ArtifactNFC,s4,1
purse,2,ArtifactNFC,s4,1
suitcase,2,ArtifactNFC,s4,1
vacuum,2,ArtifactNFC,s4,1
coin,3,AritfactFC,s4,3
military uniform,3,AritfactFC,s4,3
paper,3,AritfactFC,s4,6
recycling bin,3,AritfactFC,s4,5
school bus,3,AritfactFC,s4,7
stop sign,3,AritfactFC,s4,6
wedding dress,3,AritfactFC,s4,7
car,3,ArtifactNFC,s4,2
cup,3,ArtifactNFC,s4,1
fork,3,ArtifactNFC,s4,1
laptop,3,ArtifactNFC,s4,1
pen,3,ArtifactNFC,s4,3
soap,3,ArtifactNFC,s4,1
table,3,ArtifactNFC,s4,1
towel,3,ArtifactNFC,s4,1
go traffic,2,AritfactFC,s5,7
basketball,2,AritfactFC,s5,6
chalkboard,2,AritfactFC,s5,1
dollar bill,2,AritfactFC,s5,7
fire truck,2,AritfactFC,s5,5
lab coat,2,AritfactFC,s5,7
police uniform,2,AritfactFC,s5,6
street sign,2,AritfactFC,s5,7
taxi cab,2,AritfactFC,s5,2
tennis ball,2,AritfactFC,s5,7
toilet,2,AritfactFC,s5,7
book,2,ArtifactNFC,s5,1
couch,2,ArtifactNFC,s5,7
crayon,2,ArtifactNFC,s5,7
lunch box,2,ArtifactNFC,s5,4
mug,2,ArtifactNFC,s5,7
pants,2,ArtifactNFC,s5,4
shoes,2,ArtifactNFC,s5,6
purse,2,ArtifactNFC,s5,5
suitcase,2,ArtifactNFC,s5,7
vacuum,2,ArtifactNFC,s5,1
coin,3,AritfactFC,s5,7
military uniform,3,AritfactFC,s5,7
paper,3,AritfactFC,s5,6
recycling bin,3,AritfactFC,s5,7
school bus,3,AritfactFC,s5,7
stop sign,3,AritfactFC,s5,7
wedding dress,3,AritfactFC,s5,7
car,3,ArtifactNFC,s5,7
cup,3,ArtifactNFC,s5,1
fork,3,ArtifactNFC,s5,6
laptop,3,ArtifactNFC,s5,1
pen,3,ArtifactNFC,s5,7
soap,3,ArtifactNFC,s5,7
table,3,ArtifactNFC,s5,7
towel,3,ArtifactNFC,s5,7
go traffic,2,AritfactFC,s6,7
basketball,2,AritfactFC,s6,5
chalkboard,2,AritfactFC,s6,5
dollar bill,2,AritfactFC,s6,1
fire truck,2,AritfactFC,s6,7
lab coat,2,AritfactFC,s6,7
police uniform,2,AritfactFC,s6,6
street sign,2,AritfactFC,s6,7
taxi cab,2,AritfactFC,s6,7
tennis ball,2,AritfactFC,s6,5
toilet,2,AritfactFC,s6,1
book,2,ArtifactNFC,s6,1
couch,2,ArtifactNFC,s6,1
crayon,2,ArtifactNFC,s6,7
lunch box,2,ArtifactNFC,s6,1
mug,2,ArtifactNFC,s6,1
pants,2,ArtifactNFC,s6,1
shoes,2,ArtifactNFC,s6,1
purse,2,ArtifactNFC,s6,1
suitcase,2,ArtifactNFC,s6,1
vacuum,2,ArtifactNFC,s6,1
coin,3,AritfactFC,s6,1
military uniform,3,AritfactFC,s6,6
paper,3,AritfactFC,s6,7
recycling bin,3,AritfactFC,s6,4
school bus,3,AritfactFC,s6,7
stop sign,3,AritfactFC,s6,7
wedding dress,3,AritfactFC,s6,6
car,3,ArtifactNFC,s6,1
cup,3,ArtifactNFC,s6,1
fork,3,ArtifactNFC,s6,1
laptop,3,ArtifactNFC,s6,1
pen,3,ArtifactNFC,s6,1
soap,3,ArtifactNFC,s6,1
table,3,ArtifactNFC,s6,1
towel,3,ArtifactNFC,s6,1
go traffic,2,AritfactFC,s7,3
basketball,2,AritfactFC,s7,4
chalkboard,2,AritfactFC,s7,5
dollar bill,2,AritfactFC,s7,3
fire truck,2,AritfactFC,s7,6
lab coat,2,AritfactFC,s7,5
police uniform,2,AritfactFC,s7,6
street sign,2,AritfactFC,s7,5
taxi cab,2,AritfactFC,s7,4
tennis ball,2,AritfactFC,s7,4
toilet,2,AritfactFC,s7,5
book,2,ArtifactNFC,s7,5
couch,2,ArtifactNFC,s7,5
crayon,2,ArtifactNFC,s7,4
lunch box,2,ArtifactNFC,s7,3
mug,2,ArtifactNFC,s7,5
pants,2,ArtifactNFC,s7,4
shoes,2,ArtifactNFC,s7,5
purse,2,ArtifactNFC,s7,6
suitcase,2,ArtifactNFC,s7,6
vacuum,2,ArtifactNFC,s7,4
coin,3,AritfactFC,s7,3
military uniform,3,AritfactFC,s7,4
paper,3,AritfactFC,s7,5
recycling bin,3,AritfactFC,s7,5
school bus,3,AritfactFC,s7,5
stop sign,3,AritfactFC,s7,3
wedding dress,3,AritfactFC,s7,6
car,3,ArtifactNFC,s7,5
cup,3,ArtifactNFC,s7,5
fork,3,ArtifactNFC,s7,3
laptop,3,ArtifactNFC,s7,6
pen,3,ArtifactNFC,s7,3
soap,3,ArtifactNFC,s7,3
table,3,ArtifactNFC,s7,5
towel,3,ArtifactNFC,s7,5
go traffic,2,AritfactFC,s8,7
basketball,2,AritfactFC,s8,5
chalkboard,2,AritfactFC,s8,1
dollar bill,2,AritfactFC,s8,2
fire truck,2,AritfactFC,s8,7
lab coat,2,AritfactFC,s8,5
police uniform,2,AritfactFC,s8,2
street sign,2,AritfactFC,s8,7
taxi cab,2,AritfactFC,s8,1
tennis ball,2,AritfactFC,s8,5
toilet,2,AritfactFC,s8,1
book,2,ArtifactNFC,s8,1
couch,2,ArtifactNFC,s8,2
