Experiment,Group,Subject,TrialType,Kind,Object,Rating
2,CB,CB1,Color,Natural,strawberry,7
2,CB,CB1,Color,Natural,banana,3
2,CB,CB1,Color,Natural,broccoli,7
2,CB,CB1,Color,Natural,lemon,3
2,CB,CB1,Color,Natural,coal,7
2,CB,CB1,Color,Natural,snow,7
2,CB,CB1,Color,Natural,flamingo,5
2,CB,CB1,Color,Natural,elephant,7
2,CB,CB1,Color,Natural,ruby,7
2,CB,CB1,Color,Natural,pearl,5
2,CB,CB1,Color,ArtifactFC,go traffic,5
2,CB,CB1,Color,ArtifactFC,fire truck,3
2,CB,CB1,Color,ArtifactFC,basketball,3
2,CB,CB1,Color,ArtifactFC,taxi cab,5
2,CB,CB1,Color,ArtifactFC,police uniform,7
2,CB,CB1,Color,ArtifactFC,dollar bill,3
2,CB,CB1,Color,ArtifactFC,tennis ball,3
2,CB,CB1,Color,ArtifactFC,chalkboard,5
2,CB,CB1,Color,ArtifactNFC,toilet,3
2,CB,CB1,Color,ArtifactFC,street sign,5
2,CB,CB1,Color,ArtifactNFC,pants,3
2,CB,CB1,Color,ArtifactNFC,mug,3
2,CB,CB1,Color,ArtifactNFC,book,3
2,CB,CB1,Color,ArtifactNFC,purse,3
2,CB,CB1,Color,ArtifactFC,crayon,3
2,CB,CB1,Color,ArtifactNFC,lunch box,3
2,CB,CB1,Color,ArtifactNFC,suitcase,5
2,CB,CB1,Color,ArtifactNFC,couch,3
2,CB,CB1,Color,ArtifactNFC,shoes,3
2,CB,CB1,Color,ArtifactNFC,vacuum,3
2,CB,CB1,Function,Natural,wood,3
2,CB,CB1,Function,Natural,rock,3
2,CB,CB1,Function,Natural,mud,5
2,CB,CB1,Function,Natural,gold,5
2,CB,CB1,Function,Natural,grass,5
2,CB,CB1,Function,Natural,leaf,5
2,CB,CB1,Function,Natural,tree bark,5
2,CB,CB1,Function,Natural,water,3
2,CB,CB1,Function,Natural,dirt,5
2,CB,CB1,Function,Natural,flower,7
2,CB,CB1,Function,Artifact,hole puncher,7
2,CB,CB1,Function,Artifact,stapler,5
2,CB,CB1,Function,Artifact,hammer,7
2,CB,CB1,Function,Artifact,drill,7
2,CB,CB1,Function,Artifact,iron,3
2,CB,CB1,Function,Artifact,toaster,5
2,CB,CB1,Function,Artifact,coffee maker,5
2,CB,CB1,Function,Artifact,bed,5
2,CB,CB1,Function,Artifact,pencil,5
2,CB,CB1,Function,Artifact,bathtub,3
2,CB,CB1,Filler,Natural,dog,3
2,CB,CB1,Filler,Natural,pumpkin,5
2,CB,CB1,Filler,Natural,cucumber,5
2,CB,CB1,Filler,Natural,tree branch,5
2,CB,CB1,Filler,Natural,pebble,7
2,CB,CB1,Filler,Natural,seashell,3
2,CB,CB1,Filler,Natural,orange,7
2,CB,CB1,Filler,Natural,sand,7
2,CB,CB1,Filler,Natural,watermelon,3
2,CB,CB1,Filler,Natural,mouse,7
2,CB,CB1,Filler,Natural,acorn,7
2,CB,CB1,Filler,Natural,snake,7
2,CB,CB1,Filler,Natural,pineapple,5
2,CB,CB1,Filler,Artifact,chair,3
2,CB,CB1,Filler,Artifact,coffee table,3
2,CB,CB1,Filler,Artifact,knife,7
2,CB,CB1,Filler,Artifact,rug,3
2,CB,CB1,Filler,Artifact,coat,3
2,CB,CB1,Filler,Artifact,bowl,3
2,CB,CB1,Filler,Artifact,door,7
2,CB,CB2,Color,Natural,strawberry,6
2,CB,CB2,Color,Natural,banana,5
2,CB,CB2,Color,Natural,broccoli,6
